Date,Bitcoin,Gold Spot Price,S&P 500,Bitcoin Confidence,Gold Confidence,S&P Confidence,Market Confidence
2017-10-01,8042762.5,7003.859939343811,24085.507371989326,58.669619920262924,42.62831307047467,52.3907461452352,52.32192166279141
2017-11-01,12434587.5,7059.277639922801,24824.199000375575,69.65636530558682,42.732365535269935,53.651713990093604,56.26923969377684
2017-12-01,17350000.0,7149.159084642955,25100.20319918335,76.14300912236328,43.988621905857464,54.953063829907855,59.11715903283441
2018-01-01,12686250.0,7416.873449131514,26537.283679542365,63.00967001120467,48.62496010963344,58.230680929768255,57.743233490172216
2018-02-01,12893625.0,7266.88723462917,25559.231117402906,68.45924981104918,45.909189129027844,57.24192861634206,58.34057707729135
2018-03-01,8660775.0,7299.972429004688,24909.667851192706,56.88174566407841,46.86355879925035,55.6166096015989,54.24554025987304
2018-04-01,11552712.5,7241.246208988145,25005.24850971215,57.929990378173386,45.40658613211966,50.46985321372855,51.69524094674023
2018-05-01,9365350.0,7197.9597463468435,25607.430734117243,50.6832326802267,47.980042816878516,52.172365905193224,50.88716132004032
2018-06-01,7982137.5,6895.230217810863,25765.0304798775,46.87534592497597,45.64909476846222,53.26862813994685,49.82673680115866
2018-07-01,9656787.5,6732.561345464571,26723.87060738258,51.25852375009597,42.99698569145419,60.118667394880845,54.03628796076005
2018-08-01,8771687.5,6630.548662806727,27594.64170494708,47.77632135941615,38.76191283658144,63.32751060800671,53.74903427914449
2018-09-01,8247262.500000002,6546.732837055418,27751.711784589603,47.40167477432775,37.825155772703965,58.76299087129777,51.167029022488
2018-10-01,7879087.500000001,6699.476151089054,25854.88111403229,46.06319994927585,38.15541541088101,50.48161025446664,46.69084819419228
2018-11-01,4963825.0,6713.813068651778,26381.754446787814,40.844401415873584,39.986481017378985,51.363831489760194,45.932532373117965
2018-12-01,4616625.000000001,7067.273228563551,23999.749612380703,39.521093580091154,40.85859518694998,41.66527230475443,40.860683263794556
2019-01-01,4266387.5,7296.663909567135,25922.967285894512,39.39834667490939,42.55009798814371,47.36755466100408,44.0133009306036
2019-02-01,4739200.0,7274.0556934105325,26755.313514190235,40.36262557551691,43.03520637332844,50.47697767926123,45.95431778695138
2019-03-01,5120100.0,7143.093465674111,27275.204884484632,40.610989896889755,41.64482853626691,52.38150812004801,46.70301673634431
2019-04-01,6586250.000000001,7070.857457954232,28379.558739972457,41.71298767016757,42.10795109018336,57.74586020369592,49.808416620934906
2019-05-01,10684000.0,7143.920595533499,26576.093760533135,45.66319623475524,45.253474888604764,48.41175329510289,46.955530495698966
2019-06-01,13450125.0,7769.506479183899,28449.08945579214,46.24603159260399,51.40071745846581,54.4001217001854,51.35401381956706
2019-07-01,12606675.0,7871.794871794872,28857.991698687387,45.41788373263108,50.14014591741022,54.51007946941184,50.90843403797729
2019-08-01,11992687.5,8427.901847256686,28400.84168761255,43.62182254609078,52.65141298177456,50.16889487564415,48.70127679800422
2019-09-01,10373062.5,8190.239867659223,28932.24125810148,42.89806254839926,49.94871956126293,51.82508770531354,48.77170652942914
2019-10-01,11437587.499999998,8331.679073614558,29558.884426853103,42.698972221035184,49.77187187776699,53.18277098009773,49.35545153191282
2019-11-01,9438337.5,8051.557761235181,30631.843526998528,39.8213065303585,46.72614366593415,55.67309920976862,49.12817029717869
2019-12-01,8960450.0,8398.125172318722,31556.399811246258,39.49343673638281,49.85043855446613,57.821300555566815,50.728769009591474
2020-01-01,11659812.5,8735.594154948994,31544.024884677237,40.72276780052372,51.165252712285046,55.67491347376421,50.28733761949623
2020-02-01,10659675.0,8877.033360904328,28947.360818189693,39.42052182539615,50.09703580508836,45.86675761898502,44.77894251812903
2020-03-01,8026425.0,8872.070581748001,25371.9700690492,38.30479920229526,49.89280309794301,31.827463647689765,37.38373220412206
2020-04-01,10784150.0,9389.302453818584,28624.505243694563,39.185519007214715,53.58486177339275,42.56073584826399,43.75299598097496
2020-05-01,11807737.5,9532.395919492694,29987.81767929198,39.33250256452056,53.1650121223243,45.534251364356265,45.19987887599916
2020-06-01,11416199.999999998,9749.655362558588,30584.221727867174,39.39969239189632,53.14489140348326,46.604535259579514,45.751153628055306
2020-07-01,14195924.999999998,10834.849738075549,32308.718304298,40.612825419768996,58.6859196505166,48.59645142036198,48.21925726621501
2020-08-01,14568750.0,10793.21753515302,34631.063473261485,40.65388921006331,56.95170321986442,57.0592269359102,52.11612087494698
2020-09-01,13472775.0,10404.742211193823,33315.180230934435,40.3890721505252,51.72685480371035,52.9849843300195,48.95458477090938
2020-10-01,17270100.0,10376.895505927763,32429.24142181647,41.38505558747062,50.499121345406216,49.06141999153572,47.046050941090286
2020-11-01,24625237.5,9719.051557761237,35979.0637429097,43.692038610442005,44.13237592134126,58.45849599876957,51.16333476678564
2020-12-01,36240987.5,10427.901847256686,37362.407188050725,46.84848527581977,51.423425576891084,60.85580891526666,54.76713515575747
2021-01-01,41426725.0,10277.364212848084,36985.18860928938,46.29090849696814,50.40360578767494,55.541060810869794,51.738524112060325
2021-02-01,56551200.0,9610.421836228288,38005.03664326505,49.59176250863866,44.73415154638216,55.16151272053653,51.40511542213629
2021-03-01,73478225.0,9324.786324786324,39669.48834253026,52.59004979514057,42.79669759866112,58.14950508267515,53.411106999611974
2021-04-01,72219087.5,9747.173972980429,41786.61196660214,48.80279135206771,45.87083221419613,67.53104721191973,57.5805274544194
2021-05-01,46676762.50000001,10476.702508960574,42078.45799747686,38.69458677775825,52.35071829298736,64.65004050848437,54.40353994616713
2021-06-01,43796537.50000001,9722.360077198788,43060.796040023495,36.97601842379293,43.27683340056058,73.11419309419995,56.30526875434997
2021-07-01,51862662.5,10067.54893851668,44083.677616309855,40.54164031457492,45.0598735901987,68.35362431468928,55.35127896975686
2021-08-01,58945112.49999999,10007.444168734492,45424.06995444871,41.92593070712177,44.74355955479145,67.96759119520634,55.51028672069799
2021-09-01,54793037.5,9610.146126275156,43311.42441664499,38.352745299836265,42.354329636746094,57.65458005063052,48.80397954261536
2021-10-01,76699300.0,9755.445271574305,46345.881605177245,44.58780761932322,44.75637977713877,62.59618108858163,53.625708785515535
2021-11-01,71217650.0,9949.820788530467,46024.75948343107,37.73805280132319,46.855498947059914,64.5470009098459,52.96601608473189
2021-12-01,57767962.5,10036.39371381307,48087.42380030624,30.544859287895672,44.65848734790373,63.949763207889106,50.070036859894
2022-01-01,48114900.0,9899.365867107805,45599.05237916389,26.403238574793985,43.42169313408238,53.16633343394017,43.18847691622476
2022-02-01,53973725.00000001,10531.293079680176,44233.71758202602,28.49810145278415,46.17836066144491,48.87672461005587,42.22346487315216
2022-03-01,56896587.49999999,10709.401709401707,45876.11591020713,29.718768960149408,48.74974552836391,51.96597746478639,44.6485685261108
2022-04-01,47049750.0,10539.288668320927,41875.6440258477,25.191304777711313,46.77408639618491,37.10388312070308,35.46415027290192
